o_zone_id,d_zone_id,volume
46099001901,46099001501,2761.7293124157236
46099001901,46099001902,1489.3584467658532
46099001901,46099001700,895.850996065521
46099001901,46099010600,650.0248661426244
46099001901,46099001600,435.13449123994997
46099001901,46099001502,1235.4848845244235
46099001901,46099000600,759.0971609865325
46099001901,46099000500,2072.1573168904447
46099001901,46099000702,548.4031377767551
46099001901,46099001110,2652.8253420308174
46099001901,46099001105,99.49646889416968
46099001901,46099001108,665.7549175522572
46099001901,46099001109,1111.1858539835946
46099001901,46099001112,56.60321769033981
46099001901,46099001107,329.9703480893309
46099001901,46099001111,114.38028254310886
46099001901,46099001200,260.5245905301454
46099001901,46099001002,987.3698204591346
46099001901,46099000900,327.67991139348015
46099001901,46099001805,247.2656133949727
46099001901,46099001806,369.61650890400904
46099001901,46099001801,283.4390234880035
46099001901,46099010401,101.45027787240414
46099001901,46099001804,91.79874594624862
46099001901,46099000407,424.3824403169841
46099001901,46099000406,283.58048763441644
46099001901,46099000401,993.9378957053582
46099001901,46099000405,240.27062394688744
46099001901,46099000408,350.3199643331997
46099001901,46099001001,481.35306522444233
46099001901,46099010406,98.39782822157237
46099001901,46099000202,904.9945491562843
46099001901,46099010405,1201.0169182521956
46099001901,46099010403,70.62124073390456
46099001901,46099010402,39.024590648314344
46099001901,46099000701,3606.1780684559203
46099001901,46099000201,1051.784248916759
46099001901,46099000300,501.6316168151291
46099001901,46099000100,1006.3980537883591
46099001901,46099010404,1199.5068722704273
46099001501,46099001902,11685.769860610704
46099001501,46099001700,7071.260075649012
46099001501,46099010600,8660.973861127783
46099001501,46099001600,3469.405016952081
46099001501,46099001502,15644.085002385478
46099001501,46099000600,6740.8844631273205
46099001501,46099000500,16347.338530507146
46099001501,46099000702,6997.432716894955
46099001501,46099001110,34866.38959151156
46099001501,46099001105,1300.8540028894818
46099001501,46099001108,8718.073512184896
46099001501,46099001109,14595.619161966757
46099001501,46099001112,739.778437490093
46099001501,46099001107,4321.090488040304
46099001501,46099001111,1495.4747640036544
46099001501,46099001200,3429.819889689123
46099001501,46099001002,12930.501398308621
46099001501,46099000900,4317.505248561283
46099001501,46099001805,1970.6836481961413
46099001501,46099001806,2950.338825156718
46099001501,46099001801,2254.465622457693
46099001501,46099010401,811.0056744577953
46099001501,46099001804,731.7867400725456
46099001501,46099000407,3386.6209605234994
46099001501,46099000406,2257.2168805866972
46099001501,46099000401,7895.078934460784
46099001501,46099000405,1917.2126364563576
46099001501,46099000408,2796.018374319517
46099001501,46099001001,6295.180056581656
46099001501,46099010406,1285.2918717003488
46099001501,46099000202,11861.459151451212
46099001501,46099010405,15681.219891709665
46099001501,46099010403,564.5500552782021
46099001501,46099010402,312.22357257745205
46099001501,46099000701,34868.773042036075
46099001501,46099000201,13748.747587622862
46099001501,46099000300,3987.712403205797
46099001501,46099000100,9305.793358618954
46099001501,46099010404,9786.364690629865
46099001902,46099001700,5520.168856683659
46099001902,46099010600,3146.440104275772
46099001902,46099001600,2054.001888980349
46099001902,46099001502,5963.509000446733
46099001902,46099000600,3635.1797743819698
46099001902,46099000500,12344.616300413525
46099001902,46099000702,2649.2071312364683
46099001902,46099001110,12883.918210839198
46099001902,46099001105,483.8600290423004
46099001902,46099001108,3236.0118968442816
46099001902,46099001109,5395.558870373756
46099001902,46099001112,275.2309874989654
46099001902,46099001107,1603.3426206795236
46099001902,46099001111,556.0055198436875
46099001902,46099001200,1263.7147432686488
46099001902,46099001002,4795.864220654722
46099001902,46099000900,1587.7220214490326
46099001902,46099001805,1511.8573732868601
46099001902,46099001806,2257.062070211936
46099001902,46099001801,1735.0689040066695
46099001902,46099010401,618.797739196156
46099001902,46099001804,560.7869545404886
46099001902,46099000407,2589.803411136499
46099001902,46099000406,1732.2194423009455
46099001902,46099000401,6068.325199388749
46099001902,46099000405,1465.4904198973568
46099001902,46099000408,2134.7191828672367
46099001902,46099001001,2338.7027588543974
46099001902,46099010406,478.5343290089179
46099001902,46099000202,4390.794767168727
46099001902,46099010405,5830.369774761467
46099001902,46099010403,430.4457636956093
46099001902,46099010402,237.9405271152059
46099001902,46099000701,17352.471941118933
46099001902,46099000201,5090.243684857946
46099001902,46099000300,2986.483675796881
46099001902,46099000100,4967.495123828721
46099001902,46099010404,6828.034780047738
46099001700,46099010600,2057.027291051471
46099001700,46099001600,1338.5090810280808
46099001700,46099001502,3900.637971747947
46099001700,46099000600,2378.8533526454476
46099001700,46099000500,8552.70307288191
46099001700,46099000702,1736.089738342912
46099001700,46099001110,8418.047469116695
46099001700,46099001105,316.57473398901095
46099001700,46099001108,2116.4320243199472
46099001700,46099001109,3528.031195785497
46099001700,46099001112,180.17967037727357
46099001700,46099001107,1049.2637441502075
46099001700,46099001111,364.06609618167477
46099001700,46099001200,826.7975697126759
46099001700,46099001002,3140.636607890172
46099001700,46099000900,1040.1458192950215
46099001700,46099001805,1152.4030164234973
46099001700,46099001806,1719.5560179843744
46099001700,46099001801,1326.11252646111
46099001700,46099010401,471.2939234990588
46099001700,46099001804,428.0667304031966
46099001700,46099000407,1976.7423182971586
46099001700,46099000406,1327.4008516680776
46099001700,46099000401,4684.152029756299
46099001700,46099000405,1119.9804617305078
46099001700,46099000408,1633.6577939138285
46099001700,46099001001,1532.4143341450897
46099001700,46099010406,313.3387197878449
46099001700,46099000202,2879.0652785341003
46099001700,46099010405,3829.7311069527777
46099001700,46099010403,328.3235813482396
46099001700,46099010402,181.1272953627694
46099001700,46099000701,11380.464049043041
46099001700,46099000201,3340.578705146361
46099001700,46099000300,2195.6039988227376
