node_id,zone_id,ctrl_type,node_type,activity_type,x_coord,y_coord,production,attraction
876,,0,,poi,-77.03265648,38.89867416,17.17516453,17.17516453
877,,0,,poi,-77.03225935,38.89856591,8.153715948,8.153715948
878,,0,,poi,-77.03156275,38.89859239,15.51149454,15.51149454
879,,0,,poi,-77.03236009,38.89889743,19.47137572,19.47137572
880,,0,,poi,-77.02750788,38.89582162,22.79005075,22.79005075
881,,0,,poi,-77.02476618,38.8986914,533.6324831,6.539613764
882,,0,,poi,-77.02441088,38.89939958,42.65630052,42.65630052
883,,0,,poi,-77.02648731,38.89934121,59.91440099,59.91440099
884,,0,,poi,-77.02552862,38.89680677,0.990279757,0.990279757
885,,0,,poi,-77.02579176,38.89922733,2.705939435,2.705939435
886,,0,,poi,-77.02571738,38.89954364,8.299782212,8.299782212
887,,0,,poi,-77.02573024,38.89679904,0.964284913,0.964284913
888,,0,,poi,-77.02620167,38.8967719,0.982852659,0.982852659
889,,0,,poi,-77.03060271,38.89889827,4.117088089,4.117088089
890,,0,,poi,-77.0312645,38.8985711,5.175449579,5.175449579
891,,0,,poi,-77.02778634,38.89593848,0.50213642,39.16664077
892,,0,,poi,-77.02858392,38.89575466,47.56685027,47.56685027
893,,0,,poi,-77.02921705,38.89580309,23.02648004,23.02648004
894,,0,,poi,-77.02883144,38.89873691,84.23567181,84.23567181
895,,0,,poi,-77.02847879,38.89931104,12.46267074,12.46267074
896,,0,,poi,-77.02917215,38.89923896,20.1583823,20.1583823
897,,0,,poi,-77.02509277,38.89755232,1.258893141,1.258893141
898,,0,,poi,-77.0274533,38.89873348,31.7706503,31.7706503
899,,0,,poi,-77.02738809,38.89535453,24.13435552,24.13435552
900,,0,,poi,-77.0273814,38.89952651,13.76488862,13.76488862
901,,0,,poi,-77.02629194,38.89670793,2.843340752,2.843340752
902,,0,,poi,-77.03326651,38.89697711,23.52409562,23.52409562
903,,0,,poi,-77.03255511,38.8968438,72.99352087,72.99352087
904,,0,,poi,-77.03072936,38.89673146,99.45998522,99.45998522
905,,0,,poi,-77.0263002,38.89661967,4.339901034,4.339901034
906,,0,,poi,-77.0254958,38.89641709,22.70711482,22.70711482
907,,0,,poi,-77.02463148,38.89648232,9.69112527,9.69112527
908,,0,,poi,-77.0288449,38.89698142,67.94309411,67.94309411
909,,0,,poi,-77.02663211,38.89669263,43.26408472,43.26408472
910,,0,,poi,-77.02630651,38.89683751,3.464741299,3.464741299
911,,0,,poi,-77.02374391,38.89692785,6.670772012,6.670772012
912,,0,,poi,-77.02490806,38.89699587,5.206395821,5.206395821
913,,0,,poi,-77.02758147,38.89673144,82.06943484,82.06943484
914,,0,,poi,-77.02344897,38.89683836,10.02286899,10.02286899
915,,0,,poi,-77.02319631,38.89685233,1.372775313,1.372775313
916,,0,,poi,-77.02881356,38.8964863,63.75916214,63.75916214
917,,0,,poi,-77.03045128,38.89645341,23.47458163,23.47458163
918,,0,,poi,-77.02470353,38.89691608,9.93498166,9.93498166
919,,0,,poi,-77.02999543,38.89652444,2.104559761,2.104559761
920,,0,,poi,-77.03125291,38.89699995,51.64556502,51.64556502
921,,0,,poi,-77.02622075,38.89636354,4.627082164,4.627082164
